pipe_id,pipe_age_yrs,diameter_mm,material,soil_type,burial_depth_m,num_prior_repairs,avg_pressure_bar,pressure_variance,avg_flow_lps,flow_variance,pressure_drop_pct,soil_temp_c,elevation_m,zone,failure
P00031,58,200,concrete,sandy,0.67,0,7.6,0.194,104.35,1.211,13.74,12.5,64.5,Zone_D,0
P00032,22,150,steel,loam,2.75,1,6.17,0.248,41.45,1.529,6.68,12.0,359.7,Zone_E,0
P00033,44,100,steel,clay,2.41,0,7.76,0.159,14.97,3.251,11.15,25.9,417.4,Zone_D,0
P00034,25,150,concrete,loam,1.41,1,3.75,0.857,50.74,5.29,4.89,,435.1,Zone_B,0
P00035,49,50,ductile_iron,sandy,2.96,1,3.89,0.949,34.25,1.451,5.91,11.0,277.8,Zone_D,0
P00036,27,200,PVC,loam,3.0,1,6.99,0.008,115.21,2.362,10.33,19.8,432.6,Zone_A,0
P00037,59,50,concrete,loam,3.3,1,3.57,0.839,28.09,1.416,0.46,23.8,384.1,Zone_A,0
P00038,42,150,steel,sandy,1.76,0,4.15,0.559,85.49,1.079,10.99,15.5,287.4,Zone_A,0
P00039,28,100,PVC,loam,2.15,3,7.31,0.303,111.07,3.035,3.94,18.2,216.9,Zone_C,0
P00040,16,100,cast_iron,sandy,3.22,2,5.11,0.043,81.98,0.32,12.73,10.2,11.0,Zone_C,0
P00041,15,150,PVC,clay,1.45,2,3.8,0.552,12.64,1.176,8.39,16.3,311.2,Zone_B,0
P00042,47,400,PVC,loam,2.89,1,4.46,0.153,111.5,1.776,4.33,23.5,130.0,Zone_D,0
P00043,51,200,cast_iron,sandy,3.48,1,6.27,0.399,22.03,2.461,10.23,10.6,121.5,Zone_A,0
P00044,44,100,steel,rocky,2.46,1,2.95,0.125,27.97,4.314,13.72,21.5,79.9,Zone_A,0
P00045,55,100,ductile_iron,clay,3.45,1,7.77,1.051,88.81,0.352,7.76,13.2,344.9,Zone_C,0
P00046,52,300,ductile_iron,loam,2.05,1,4.96,0.215,61.66,1.07,12.93,22.8,342.7,Zone_E,0
P00047,57,150,PVC,loam,0.96,0,13.218686233221437,0.58,94.47,0.516,14.04,20.8,214.5,Zone_C,0
P00048,3,100,PVC,clay,1.03,0,6.21,0.34,23.91,1.589,5.63,17.7,239.5,Zone_B,0
P00049,37,300,cast_iron,sandy,2.69,2,6.08,1.229,103.52,0.458,12.44,8.5,382.6,Zone_C,1
P00050,51,200,ductile_iron,loam,0.5,3,,0.129,39.98,0.548,11.67,18.2,85.3,Zone_B,0
P00051,7,400,cast_iron,sandy,2.49,2,2.25,1.554,64.95,0.259,8.35,21.4,122.6,Zone_A,0
P00052,21,300,cast_iron,clay,0.95,1,6.45,0.698,18.06,1.665,0.83,21.0,471.8,Zone_E,0
P00053,9,300,cast_iron,loam,3.45,1,7.72,0.604,45.37,3.229,12.05,8.1,499.3,Zone_B,0
P00054,39,50,cast_iron,clay,0.99,1,,0.918,46.45,0.268,0.79,25.0,261.0,Zone_C,0
P00055,18,100,ductile_iron,loam,2.16,3,7.72,0.527,116.19,3.155,14.51,28.0,236.5,Zone_A,0
P00056,4,150,PVC,rocky,2.51,2,5.21,0.058,100.57,6.715,6.85,12.9,50.4,Zone_D,0
P00057,25,150,concrete,clay,2.96,3,3.0,0.599,11.65,1.3,0.4,23.0,339.1,Zone_D,0
P00058,14,150,PVC,sandy,1.88,1,3.44,0.288,37.85,1.531,3.46,10.1,239.5,Zone_D,0
P00059,50,150,PVC,sandy,3.3,4,7.19,0.403,28.77,2.872,3.44,11.7,273.8,Zone_B,0
P00060,58,150,ductile_iron,loam,1.94,2,5.73,0.262,41.67,2.782,12.95,15.5,466.7,Zone_A,0
P00061,9,150,steel,sandy,1.26,0,4.49,0.094,6.51,0.229,1.11,10.2,461.1,Zone_E,0
P00062,26,50,PVC,sandy,2.28,4,6.8,0.332,,3.524,2.59,30.7,459.6,Zone_E,0
P00063,53,100,PVC,clay,2.47,2,5.85,0.032,20.91,0.232,5.51,23.6,58.2,Zone_A,0
P00064,2,150,cast_iron,clay,2.02,1,7.23,,28.31,1.671,2.66,24.1,198.0,Zone_D,0
P00065,20,200,ductile_iron,loam,2.7,0,7.83,0.381,80.45,1.397,2.88,19.0,335.3,Zone_D,0
P00066,28,100,PVC,clay,1.76,2,5.91,0.099,77.5,3.513,3.2,20.3,77.6,Zone_D,0
P00067,47,150,ductile_iron,clay,0.51,0,7.82,0.489,100.01,0.292,2.14,13.5,470.8,Zone_A,0
P00068,7,200,steel,sandy,1.29,1,4.82,0.106,20.76,2.071,9.28,20.5,292.3,Zone_E,0
P00069,44,150,cast_iron,clay,3.34,1,7.04,0.818,30.31,4.506,1.06,20.8,302.3,Zone_B,0
P00070,8,50,cast_iron,clay,2.79,1,7.44,0.079,105.76,1.607,5.35,14.3,72.2,Zone_D,0
P00071,47,150,PVC,clay,1.07,1,2.27,0.293,81.61,4.019,10.08,12.1,18.6,Zone_C,0
P00072,35,100,steel,clay,0.7,1,7.19,0.313,14.08,4.299,4.66,22.4,325.2,Zone_D,0
P00073,14,300,ductile_iron,loam,1.55,1,4.45,0.484,15.81,0.583,5.16,14.5,115.1,Zone_D,0
P00074,17,100,PVC,clay,3.01,0,4.39,0.257,66.34,4.239,11.52,14.7,411.4,Zone_E,0
P00075,36,200,cast_iron,loam,0.82,1,6.69,0.535,,2.293,11.78,16.5,34.4,Zone_D,0
P00076,50,50,PVC,sandy,2.13,2,3.48,0.727,78.99,3.94,11.11,29.5,94.2,Zone_A,0
P00077,40,150,steel,loam,1.33,1,,0.066,82.97,0.614,4.99,18.3,392.2,Zone_C,0
P00078,4,150,steel,clay,2.68,2,3.63,0.038,70.78,0.952,7.96,14.0,17.1,Zone_E,0
P00079,2,100,cast_iron,rocky,0.5,0,5.89,,106.36,1.847,13.1,18.8,128.3,Zone_D,0
P00080,6,150,ductile_iron,loam,1.33,2,7.72,0.96,108.15,2.804,6.4,15.4,365.3,Zone_A,0
P00081,54,100,PVC,clay,2.54,0,17.44421862675529,0.327,74.64,8.107,4.09,24.5,350.9,Zone_B,0
P00082,42,100,cast_iron,clay,2.14,0,6.79,0.501,89.1,0.142,0.43,23.1,110.0,Zone_D,0
P00083,4,150,PVC,loam,2.84,0,3.2,0.177,58.18,1.56,8.56,29.3,398.0,Zone_D,0
P00084,54,100,PVC,rocky,0.97,3,7.11,1.038,35.97,1.588,3.23,18.6,215.6,Zone_A,0
P00085,29,300,ductile_iron,sandy,2.09,1,6.59,0.738,78.17,4.728,10.94,23.1,353.0,Zone_E,0
P00086,18,150,steel,sandy,1.09,1,4.69,0.442,98.74,0.538,1.26,21.0,237.6,Zone_A,0
P00087,26,150,ductile_iron,clay,2.42,2,7.37,0.183,35.2,0.347,6.21,16.9,14.7,Zone_B,0
P00088,44,50,concrete,sandy,0.89,4,2.23,,76.98,1.317,5.01,18.4,12.4,Zone_C,0
P00089,34,150,steel,clay,0.95,3,6.72,0.164,76.59,2.59,4.19,14.2,494.7,Zone_D,0
P00090,10,200,PVC,sandy,1.48,3,2.21,0.282,110.66,7.147,14.83,10.8,109.5,Zone_B,0
P00091,36,100,cast_iron,clay,1.71,0,7.19,0.026,92.32,1.696,1.48,21.5,430.2,Zone_D,0
P00092,14,200,concrete,clay,2.0,4,3.06,0.056,98.3,2.586,0.04,13.5,121.8,Zone_A,0
P00093,31,100,steel,loam,2.24,4,2.23,0.122,70.66,0.653,0.22,19.1,231.5,Zone_A,0
P00094,48,200,cast_iron,loam,1.91,1,3.85,1.172,88.69,2.257,1.55,7.4,492.3,Zone_A,0
P00095,15,50,ductile_iron,sandy,0.64,1,3.07,0.313,,0.556,12.73,24.5,75.7,Zone_C,0
P00096,8,300,ductile_iron,rocky,1.53,0,5.91,0.328,71.66,1.369,2.45,10.9,281.3,Zone_C,0
P00097,14,150,concrete,clay,0.68,2,4.83,0.376,81.16,0.095,8.6,24.8,187.1,Zone_B,0
P00098,23,100,steel,sandy,0.85,2,2.78,0.347,100.89,0.782,9.55,20.3,289.4,Zone_E,0
P00099,57,100,concrete,loam,0.78,2,7.5,0.045,24.06,3.045,11.5,18.5,267.0,Zone_B,0
P00100,40,150,steel,loam,0.97,1,4.21,0.195,42.58,0.14,1.96,15.6,73.8,Zone_D,0
P00101,21,400,PVC,rocky,2.94,2,3.7,0.035,96.02,0.767,1.93,20.4,288.1,Zone_B,0
P00102,16,100,cast_iron,clay,2.38,1,6.19,0.036,54.94,0.374,4.66,10.5,187.5,Zone_C,0
P00103,45,100,cast_iron,clay,2.02,2,4.36,0.04,,1.975,1.55,21.7,136.2,Zone_B,0
P00104,18,150,cast_iron,loam,2.7,2,2.87,1.139,76.22,2.723,4.16,16.9,78.5,Zone_A,0
P00105,47,150,PVC,sandy,3.38,0,5.49,0.124,88.63,0.233,8.92,18.1,336.8,Zone_E,0
P00106,53,150,concrete,clay,1.75,1,2.18,0.035,38.15,1.48,6.43,9.6,362.1,Zone_A,0
P00107,24,200,concrete,loam,1.6,1,,0.001,104.35,2.288,4.45,7.5,410.5,Zone_D,0
P00108,26,100,ductile_iron,sandy,3.43,1,7.21,0.475,46.88,9.189,5.04,16.4,410.8,Zone_A,0
P00109,25,300,PVC,sandy,2.81,4,3.57,0.48,35.0,0.491,3.51,14.7,497.6,Zone_C,0
P00110,45,150,PVC,clay,2.83,0,7.11,0.154,85.45,0.153,6.72,17.1,128.1,Zone_D,0
P00111,41,100,PVC,clay,2.3,2,3.47,0.164,46.38,0.597,6.89,13.4,287.2,Zone_A,0
P00112,29,200,PVC,clay,2.02,5,3.21,0.206,63.23,1.645,13.44,,289.8,Zone_A,0
P00113,15,150,ductile_iron,sandy,2.15,1,6.29,0.219,42.98,2.006,10.02,15.7,272.7,Zone_B,0
P00114,45,100,concrete,clay,2.46,2,2.39,0.75,103.15,0.952,9.46,2.5,183.2,Zone_E,0
P00115,1,150,PVC,rocky,1.63,3,2.24,1.403,62.46,1.138,3.93,15.1,97.3,Zone_A,0
P00116,25,100,steel,clay,2.85,2,4.74,0.444,12.52,1.588,5.12,17.7,292.1,Zone_E,0
P00117,7,150,cast_iron,rocky,3.23,1,2.2,0.249,11.52,0.338,13.09,19.2,83.0,Zone_D,0
P00118,9,300,cast_iron,sandy,2.21,3,4.98,0.175,46.96,6.534,8.49,17.6,15.9,Zone_E,0
P00119,24,100,ductile_iron,clay,1.64,0,5.9,0.884,51.87,2.237,2.7,6.5,334.0,Zone_A,0
P00120,1,150,steel,sandy,2.59,3,3.37,0.047,9.3,1.473,10.9,24.2,225.2,Zone_A,0
P00121,44,200,concrete,sandy,1.05,1,7.39,0.284,103.03,2.634,0.96,11.5,480.9,Zone_C,0
P00122,8,400,ductile_iron,sandy,3.41,2,3.2,0.547,63.26,0.209,13.4,25.1,177.6,Zone_B,0
P00123,24,150,steel,sandy,2.47,1,3.42,0.144,68.0,3.089,8.19,16.0,495.9,Zone_E,0
P00124,11,150,PVC,loam,0.7,3,7.48,0.072,79.96,0.428,14.71,27.0,14.4,Zone_E,0
P00125,51,150,ductile_iron,sandy,2.09,1,6.13,0.527,30.02,0.167,4.15,22.2,38.7,Zone_B,0
P00126,17,300,PVC,loam,2.75,0,5.17,0.458,,4.32,1.66,22.3,335.0,Zone_E,0
P00127,8,300,steel,loam,1.33,2,3.98,0.483,30.63,2.425,7.35,11.1,321.1,Zone_B,0
P00128,35,100,cast_iron,clay,0.65,2,6.61,1.913,52.76,0.078,8.21,9.2,275.8,Zone_D,1
P00129,35,150,ductile_iron,rocky,1.97,2,5.53,0.195,77.09,5.364,11.3,33.0,104.5,Zone_D,0
P00130,33,150,PVC,loam,3.0,2,4.05,2.128,32.12,12.46,9.01,15.5,56.5,Zone_E,0
P00131,59,200,cast_iron,rocky,1.25,0,6.96,0.024,106.61,1.927,6.03,18.6,39.3,Zone_C,0
P00132,5,150,concrete,clay,2.65,3,6.77,0.021,38.78,0.317,2.79,19.6,389.5,Zone_A,0
P00133,42,200,PVC,rocky,1.72,0,7.65,0.978,39.93,1.452,13.32,24.7,441.2,Zone_E,0
P00134,39,400,cast_iron,rocky,0.68,1,7.97,0.194,110.93,2.263,4.69,11.2,412.2,Zone_D,0
P00135,58,50,cast_iron,loam,1.41,1,2.07,0.221,49.76,0.409,3.2,18.5,83.5,Zone_E,0
P00136,41,100,concrete,sandy,1.44,1,3.92,0.026,20.7,0.98,3.96,10.1,392.1,Zone_B,0
P00137,28,150,PVC,rocky,3.21,1,3.16,0.001,54.17,0.231,8.19,11.3,490.5,Zone_B,0
P00138,7,100,PVC,rocky,3.45,2,3.28,0.501,43.99,1.738,0.21,18.1,311.1,Zone_D,0
P00139,9,50,cast_iron,loam,1.13,4,,0.37,61.94,0.842,11.63,29.0,198.0,Zone_A,0
P00140,8,50,steel,sandy,1.79,0,7.85,0.65,75.46,0.87,11.88,18.7,56.0,Zone_B,0
P00141,12,200,ductile_iron,rocky,3.43,3,7.64,0.129,42.91,1.232,13.14,2.8,158.2,Zone_D,0
P00142,34,300,PVC,clay,1.72,1,,0.94,86.79,0.583,12.26,17.0,297.1,Zone_C,0
P00143,33,150,concrete,clay,1.55,1,5.33,0.152,39.82,1.919,1.32,17.3,215.0,Zone_D,0
P00144,48,150,cast_iron,rocky,0.83,2,5.83,,101.45,2.227,7.95,30.8,261.4,Zone_D,0
P00145,55,100,PVC,rocky,2.76,1,7.13,0.23,115.64,0.578,,14.1,345.0,Zone_A,0
P00146,23,200,cast_iron,rocky,1.84,0,2.04,0.966,6.57,2.944,1.56,6.2,221.6,Zone_A,0
P00147,24,200,PVC,loam,2.42,2,4.57,,18.39,0.11,0.06,25.0,105.0,Zone_A,0
P00148,37,150,ductile_iron,sandy,2.03,5,5.04,0.291,63.66,2.354,0.46,8.8,47.9,Zone_C,0
P00149,35,100,concrete,rocky,1.02,2,7.54,0.221,76.65,1.141,5.28,10.0,215.2,Zone_B,0
P00150,44,50,ductile_iron,sandy,1.03,3,3.03,0.77,109.72,1.944,0.27,19.4,441.4,Zone_D,0
P00151,40,50,PVC,loam,3.32,1,6.47,0.12,77.51,1.015,6.43,19.8,342.9,Zone_A,0
P00152,22,150,steel,loam,3.17,1,7.54,1.415,104.39,0.949,1.99,17.4,125.1,Zone_B,0
P00153,27,200,concrete,clay,2.33,2,6.58,0.191,65.07,0.31,12.36,14.5,255.1,Zone_B,0
P00154,35,300,PVC,clay,0.5,2,2.06,0.311,84.31,2.495,5.73,27.3,116.5,Zone_C,0
P00155,1,150,PVC,sandy,1.8,1,5.96,0.826,111.2,0.714,9.59,19.2,77.6,Zone_E,0
P00156,35,200,cast_iron,sandy,2.09,2,3.26,0.793,82.91,1.125,7.09,23.4,391.9,Zone_C,0
P00157,37,300,cast_iron,clay,1.85,3,5.63,0.591,60.51,2.839,6.86,18.5,219.2,Zone_B,0
P00158,47,100,PVC,sandy,3.28,3,5.43,0.062,73.18,0.523,7.11,25.2,37.4,Zone_C,0
P00159,14,150,cast_iron,loam,0.62,0,7.74,0.139,54.48,1.198,4.19,19.4,410.8,Zone_A,0
P00160,3,300,ductile_iron,loam,2.46,1,3.14,0.625,22.26,0.769,,,468.7,Zone_A,0
P00161,1,100,cast_iron,clay,1.44,1,2.3,0.981,93.57,2.512,13.26,11.0,178.1,Zone_C,0
P00162,5,300,PVC,loam,2.18,1,5.67,0.092,52.66,6.57,11.31,16.9,252.9,Zone_B,0
P00163,26,400,ductile_iron,clay,2.47,0,4.06,2.263,15.9,6.014,3.76,17.7,381.8,Zone_A,0
P00164,55,200,cast_iron,clay,1.82,0,6.5,0.485,85.96,1.375,0.25,26.5,28.0,Zone_D,0
P00165,14,200,ductile_iron,clay,0.95,1,,,,0.37,7.93,14.3,459.2,Zone_D,0
P00166,39,200,PVC,loam,2.06,0,4.41,0.77,17.11,6.769,1.34,11.7,499.1,Zone_C,0
P00167,27,200,PVC,clay,3.3,0,2.91,0.057,57.43,4.436,10.67,20.3,257.6,Zone_A,0
P00168,9,100,PVC,clay,2.11,3,5.32,0.21,60.35,0.345,4.59,11.2,271.6,Zone_B,0
P00169,15,50,steel,clay,0.87,0,4.08,0.307,31.97,0.639,8.82,9.6,264.3,Zone_B,0
P00170,15,100,cast_iron,rocky,2.97,2,,0.151,96.9,0.235,6.59,23.6,413.9,Zone_B,0
P00171,26,200,cast_iron,rocky,1.17,0,5.21,0.573,66.04,6.248,1.34,14.6,267.1,Zone_A,0
P00172,42,100,cast_iron,clay,1.61,1,7.45,0.412,70.82,0.147,14.67,16.0,330.6,Zone_D,1
P00173,13,50,PVC,sandy,1.79,1,,,46.17,1.003,0.02,,328.7,Zone_E,0
P00174,51,100,PVC,rocky,1.52,1,7.48,0.101,33.23,3.64,13.99,20.4,270.1,Zone_B,0
P00175,32,200,cast_iron,clay,1.71,1,3.79,0.412,97.25,1.566,10.47,23.5,463.6,Zone_D,0
P00176,39,400,PVC,clay,2.89,0,7.42,1.152,66.29,1.453,8.22,25.6,427.9,Zone_B,0
P00177,49,400,PVC,clay,1.17,2,7.2,0.02,32.7,0.966,12.43,10.9,44.9,Zone_E,0
P00178,52,150,concrete,rocky,1.91,5,5.76,0.344,54.0,0.018,0.43,22.1,210.2,Zone_C,0
P00179,32,300,PVC,loam,0.56,1,,0.12,68.92,0.323,2.06,18.4,296.9,Zone_C,0
P00180,4,200,PVC,clay,2.02,0,2.33,1.588,68.84,1.723,8.99,16.5,394.6,Zone_C,0
P00181,30,150,PVC,clay,0.84,1,6.71,0.547,69.14,3.241,7.99,14.7,186.1,Zone_A,0
P00182,37,150,concrete,rocky,1.35,3,2.87,0.159,,2.083,8.24,12.4,311.4,Zone_C,0
P00183,23,100,concrete,sandy,1.47,3,4.05,2.295,68.81,2.853,12.81,13.4,224.1,Zone_B,1
P00184,39,300,PVC,loam,0.75,1,6.38,0.123,44.76,0.462,9.99,14.0,70.7,Zone_E,0
P00185,45,150,PVC,clay,1.58,2,3.26,0.201,70.22,1.653,5.31,14.1,497.5,Zone_E,0
P00186,15,150,PVC,loam,1.99,0,,0.562,81.65,0.927,9.11,19.9,342.7,Zone_A,0
P00187,43,200,ductile_iron,clay,1.79,3,,,31.5,0.814,10.45,9.9,154.3,Zone_E,0
P00188,29,100,PVC,loam,1.34,1,4.74,0.87,,1.105,2.9,3.5,331.6,Zone_C,0
P00189,36,100,ductile_iron,clay,1.38,1,2.49,0.553,74.51,4.101,0.4,17.3,144.1,Zone_A,0
P00190,13,150,concrete,clay,2.4,3,7.32,0.432,84.7,4.326,7.56,15.2,362.6,Zone_C,0
P00191,32,50,PVC,sandy,2.66,2,6.38,0.204,104.58,3.106,10.13,22.0,125.6,Zone_A,0
P00192,7,200,steel,rocky,2.23,2,5.08,0.175,33.29,0.943,13.03,8.4,485.0,Zone_C,0
P00193,59,150,PVC,sandy,3.43,0,2.51,0.052,19.25,0.049,8.73,30.7,277.1,Zone_B,0
P00194,51,150,PVC,clay,3.33,0,2.75,0.258,116.95,0.915,8.81,,404.4,Zone_C,0
P00195,22,150,ductile_iron,loam,0.8,2,2.59,0.778,9.6,3.492,7.6,10.4,356.1,Zone_E,0
P00196,28,150,PVC,loam,1.28,0,2.09,0.167,,0.206,13.87,18.2,435.5,Zone_D,0
P00197,2,150,PVC,loam,3.11,2,6.0,1.065,61.74,2.208,12.89,7.9,419.5,Zone_A,0
P00198,42,200,ductile_iron,sandy,0.59,0,5.06,0.808,86.74,3.916,7.62,11.7,39.4,Zone_A,0
P00199,45,200,steel,clay,2.28,2,4.29,3.023,98.3,1.262,10.15,19.4,154.9,Zone_A,1
P00200,57,200,cast_iron,loam,3.36,0,4.09,0.647,69.13,0.086,9.79,19.5,283.3,Zone_D,1
P00201,53,300,PVC,sandy,2.54,1,4.77,0.025,8.32,1.399,3.72,19.4,418.1,Zone_C,0
P00202,6,100,cast_iron,rocky,0.78,1,,0.45,119.79,2.359,3.56,16.6,439.3,Zone_A,0
P00203,28,150,steel,sandy,2.74,1,2.83,0.18,78.58,2.137,,9.4,205.9,Zone_A,0
P00204,28,300,ductile_iron,sandy,1.63,1,5.19,1.483,100.63,1.435,12.34,21.7,377.7,Zone_C,0
P00205,44,150,PVC,sandy,3.26,1,2.29,0.623,,1.847,11.19,16.9,324.7,Zone_D,0
P00206,44,100,cast_iron,sandy,1.36,1,,0.763,11.01,0.648,13.87,21.7,459.2,Zone_E,1
P00207,20,150,ductile_iron,sandy,1.92,5,6.29,0.412,14.51,0.477,10.94,21.8,434.7,Zone_E,0
P00208,30,100,steel,sandy,2.74,1,2.06,1.705,93.68,4.351,12.05,24.5,130.8,Zone_B,0
P00209,11,100,cast_iron,rocky,1.27,2,3.73,0.094,29.44,0.681,4.32,22.0,178.1,Zone_A,0
P00210,58,400,PVC,sandy,1.05,4,7.9,0.247,103.48,2.358,7.62,12.5,144.5,Zone_A,0
P00211,55,150,cast_iron,clay,0.51,0,2.29,0.347,34.02,0.406,6.41,20.6,263.7,Zone_D,0
P00212,28,100,ductile_iron,clay,1.96,4,2.88,0.403,34.81,1.124,,14.3,43.0,Zone_B,0
P00213,25,400,PVC,loam,3.29,2,,0.749,16.25,0.306,11.13,23.1,186.9,Zone_A,0
P00214,39,400,PVC,clay,1.34,1,4.12,0.652,21.15,0.698,6.87,8.4,463.0,Zone_D,0
P00215,33,150,PVC,sandy,0.63,3,7.91,0.028,19.63,0.395,13.73,25.5,385.3,Zone_D,0
P00216,1,100,PVC,loam,2.36,0,5.24,0.643,9.85,6.237,5.99,7.9,172.3,Zone_C,0
P00217,57,200,ductile_iron,sandy,0.67,2,7.65,0.152,32.23,0.032,6.58,11.4,226.2,Zone_E,0
P00218,27,200,ductile_iron,loam,2.02,0,4.26,0.269,,0.854,13.36,30.0,358.3,Zone_B,0
P00219,57,200,cast_iron,loam,1.64,2,3.63,0.299,85.9,1.985,0.44,19.5,466.9,Zone_E,0
P00220,52,300,steel,rocky,1.93,2,3.73,0.591,75.87,4.213,7.76,20.6,388.2,Zone_A,0
P00221,13,200,steel,sandy,0.99,2,5.82,0.572,24.8,11.301,3.74,13.4,490.1,Zone_A,0
P00222,41,100,cast_iron,sandy,0.77,3,5.62,0.238,104.15,1.877,6.44,19.6,496.3,Zone_E,0
P00223,3,200,cast_iron,clay,2.75,0,5.32,0.839,37.85,5.005,10.03,10.7,104.1,Zone_B,0
P00224,39,100,cast_iron,sandy,1.24,1,,0.065,66.6,5.933,9.29,26.2,22.7,Zone_E,0
P00225,6,200,concrete,clay,2.9,2,3.58,0.132,98.27,1.54,5.11,19.7,420.5,Zone_A,0
P00226,8,150,steel,loam,2.78,3,3.73,0.276,47.45,0.246,4.78,21.1,447.4,Zone_E,0
P00227,27,50,ductile_iron,sandy,1.1,2,7.2,0.123,33.87,1.394,5.5,9.9,232.2,Zone_D,0
P00228,9,150,PVC,sandy,3.22,1,6.9,1.313,103.98,1.323,11.09,21.3,41.7,Zone_C,0
P00229,37,100,ductile_iron,clay,0.98,0,3.23,1.314,13.52,1.588,6.7,22.8,93.3,Zone_D,0
P00230,33,100,PVC,loam,2.89,4,2.88,0.094,79.8,0.869,2.19,19.6,66.8,Zone_B,0
P00231,51,150,PVC,sandy,1.76,3,2.61,0.267,101.45,2.209,13.77,17.6,97.0,Zone_C,0
P00232,42,100,ductile_iron,sandy,1.05,1,2.41,2.414,86.67,1.25,5.14,9.9,50.0,Zone_A,0
P00233,44,200,steel,rocky,3.31,3,,0.01,48.04,1.694,6.85,20.2,67.3,Zone_E,0
P00234,24,50,PVC,loam,3.39,1,6.87,0.022,,0.718,7.62,14.7,356.3,Zone_E,0
P00235,15,200,cast_iron,clay,2.03,2,2.1,0.926,20.62,1.161,10.74,23.1,26.4,Zone_E,0
P00236,59,200,PVC,sandy,1.91,2,2.04,0.241,86.83,2.499,4.28,17.1,433.3,Zone_E,0
P00237,54,200,PVC,sandy,3.2,3,15.279044207280096,,87.58,0.227,11.56,18.3,418.4,Zone_A,0
P00238,32,150,concrete,loam,2.29,0,3.87,0.481,75.42,3.23,0.04,23.0,313.2,Zone_E,0
P00239,32,400,ductile_iron,rocky,1.3,1,2.59,0.593,60.85,1.1,11.12,16.3,459.4,Zone_B,0
